연도,회차,사전예고,본공고,확약서 마감,질의 마감,제출,심사,지구명,블록,주택규모,세대수,유형,사업비(추정),컨소시엄,TP랩스,PM팀,담당자,팀원,진행상황,PQ목록 배포,PQ스캔본 취합,PQ원본취합,날인 예정일,,,,,,사전-본공고,본공고-확약서마감,확약서-질의마감,본공고-제출,제출-심사
2025,1-1차,25.03.14 (금),25.03.27 (목),25.04.03 (목),25.04.07 (월),25.05.08 (목),25.05.15 (목),평택고덕국제화계획,A-65,60~85,837세대,일반형,"2,709억",- 현대+우미+동부 (건원+다인),,,,,,,,,,,,,,,13,#REF!,#REF!,42,7
2025,1-1차,25.03.14 (금),25.03.27 (목),25.04.03 (목),25.04.07 (월),25.05.08 (목),25.05.15 (목),평택고덕국제화계획,A-12,60이하,942세대,일반형,"3,038억",- 현대+우미+동부 (건원+다인),,,,,,,,,,,,,,,,,,,
2025,1-1차,25.03.14 (금),25.03.27 (목),25.04.03 (목),25.04.07 (월),25.05.08 (목),25.05.15 (목),평택고덕국제화계획,A-27,60이하 / 60~85,602세대,일반형,"1,969억",- 현대+우미+동부 (건원+다인),,,,,,,,,,,,,,,,,,,
2025,1-2차,25.03.14 (금),25.03.27 (목),25.04.03 (목),25.04.03 (목),25.05.08 (목),25.05.13 (화),밀양부북,A1,60이하,744세대,일반형+통합공공임대,"1,926억","- 한양65+대보25+강산10
  (토문+다인+에스파스+ITM)",,,,,,,,,,,,,,,13,#REF!,#REF!,42,5
2025,1-2차,25.03.14 (금),25.03.27 (목),25.04.03 (목),25.04.03 (목),25.05.08 (목),25.05.13 (화),밀양부북,S2,60이하 / 60~85,322세대,일반형+선택형,974억,"- 한양65+대보25+강산10
  (토문+다인+에스파스+ITM)",,,,,,,,,,,,,,,,,,,
2025,2-1차,25.04.08 (화),25.04.22 (화),25.04.25 (금),25.04.29 (화),25.05.22 (목),25.05.28 (수),부천역곡(사전),A-2,60이하,"1,464세대",일반형+행복(신혼),"4,015억","- 남광51+중흥25+극동1O+KR1O+CNC4  (라온)
- 롯데75+진흥20+대승글로벌3 (공간)",O,PM 3팀,안현민 이사,"정재엽 팀장, 이슬기 대리",완료,완료,완료,완료,,,,,,,14,#REF!,#REF!,30,6
2025,2-1차,25.04.08 (화),25.04.22 (화),25.04.25 (금),25.04.29 (화),25.05.22 (목),25.05.28 (수),부천대장,A12,60이하 / 60~85,795세대,통합공공임대,"1,757억","- 남광51+중흥25+극동1O+KR1O+CNC4  (라온)
- 롯데75+진흥20+대승글로벌3 (공간)",O,PM 3팀,안현민 이사,"정재엽 팀장, 이슬기 대리",완료,완료,완료,완료,,,,,,,,,,,
2025,2-1차,25.04.08 (화),25.04.22 (화),25.04.25 (금),25.04.29 (화),25.05.22 (목),25.05.28 (수),부천대장,A2,60이하 / 60~85,548세대,나눔형,"1,558억","- 남광51+중흥25+극동1O+KR1O+CNC4  (라온)
- 롯데75+진흥20+대승글로벌3 (공간)",O,PM 3팀,안현민 이사,"정재엽 팀장, 이슬기 대리",완료,완료,완료,완료,,,,,,,,,,,
2025,2-2차,25.04.08 (화),25.04.22 (화),25.04.25 (금),25.04.29 (화),25.05.22 (목),25.05.29 (목),행정중심복합도시,52L2,46이하 / 60~75,616세대,통합공공임대,"1,234억",- 계룡58+Dlenc22+대보10+이수10 (토문+KD),,,,,,,,,,,,,,,14,#REF!,#REF!,30,7
2025,2-2차,25.04.08 (화),25.04.22 (화),25.04.25 (금),25.04.29 (화),25.05.22 (목),25.05.29 (목),행정중심복합도시,52M2,75-85,622세대,일반형,"2,070억",- 계룡58+Dlenc22+대보10+이수10 (토문+KD),,,,,,,,,,,,,,,,,,,
2025,2-2차,25.04.08 (화),25.04.22 (화),25.04.25 (금),25.04.29 (화),25.05.22 (목),25.05.29 (목),석남국가산단,B-6,60-85,"1,124세대",선택형,"3,554억",- 계룡58+Dlenc22+대보10+이수10 (토문+KD),,,,,,,,,,,,,,,,,,,
2025,3-1차,25.04.25 (금),25.05.20 (화),25.05.27 (화),25.05.30 (금),25.06.24 (화),25.07.01 (화),남양주왕숙,A-17,60이하,379세대,나눔형,"1,078억","- 대보51+호반29+대보실업10+우호5+CNC5 (해마60+인보20+상지20)
- 한신+쌍용+대승+고덕+지아이 (DA)",O,PM 1팀,김종철 이사,김건오 사원,완료,완료,완료,완료,,,,,,,25,#REF!,#REF!,35,7
2025,3-1차,25.04.25 (금),25.05.20 (화),25.05.27 (화),25.05.30 (금),25.06.24 (화),25.07.01 (화),남양주왕숙,S-18,60이하 / 60~85,965세대,통합공공임대,"2,806억","- 대보51+호반29+대보실업10+우호5+CNC5 (해마60+인보20+상지20)
- 한신+쌍용+대승+고덕+지아이 (DA)",O,PM 1팀,김종철 이사,김건오 사원,완료,완료,완료,완료,,,,,,,,,,,
2025,3-2차,25.04.25 (금),25.05.20 (화),25.05.27 (화),25.05.30 (금),25.06.24 (화),25.07.03 (목),남양주왕숙2,A-1,60이하 / 60~85,812세대,공공분양,"2,262억","- 금호+이수+BS한양+ESI (SI+에스파스)
- 극동+남광+금광+두산+신동아종합건설",,,,,,,,,,,,,,,25,#REF!,#REF!,35,9
2025,3-2차,25.04.25 (금),25.05.20 (화),25.05.27 (화),25.05.30 (금),25.06.24 (화),25.07.03 (목),남양주왕숙,PM-3,60이하,"1,391세대",통합공공임대,"3,723억","- 금호+이수+BS한양+ESI (SI+에스파스)
- 극동+남광+금광+두산+신동아종합건설",,,,,,,,,,,,,,,,,,,
2025,3-3차,25.04.25 (금),25.05.20 (화),25.05.27 (화),25.05.28 (수),25.06.30 (월),25.07.10 (목),의왕군포안산,A1-3,60이하,806세대,통합공공임대,"1,575억",- HJ+계룡+신성건설 (건원+나우동인+다인+SI),,,,,,,,,,,,,,,25,#REF!,#REF!,41,10
